,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
238,Bolero,Chennai,790000,79950, Diesel,2018,Mahindra
239,Linea,Chennai,200000,75000, Diesel,2009,Fiat
240,Suzuki,Pune,718699,19775, Petrol ,2018,Maruti
241,Tiago,Pune,543399,28495, Petrol ,2018,Tata
242,Creta,Pune,1780399,28344, Diesel ,2020,Hyundai
243,Glanza,Pune,757999,10801, Petrol ,2020,Toyota
244,Nexon,Pune,1013999,4365, Petrol ,2019,Tata
245,Suzuki,Pune,439999,53266, Diesel ,2016,Maruti
246,Suzuki,Pune,839199,50866, Diesel ,2018,Maruti
247,Suzuki,Pune,421799,24230, Petrol ,2019,Maruti
248,Suzuki,Pune,580599,64275, Petrol ,2016,Maruti
249,Venue,Pune,986799,8924, Petrol ,2019,Hyundai
250,Motors,Pune,2057399,12208, Petrol ,2021,MG
251,City,Pune,1082299,26956, Petrol ,2018,Honda
252,Grand,Pune,576999,12223, Petrol ,2017,Hyundai
253,Grand,Pune,533199,23960, Petrol ,2016,Hyundai
254,Suzuki,Pune,473299,33687, Petrol ,2015,Maruti
255,Motors,Pune,1838399,24887, Petrol ,2020,MG
256,Innova,Mumbai,800000,74000, Diesel ,2013,Toyota
257,Micra,Bhubaneswar,199000,40000, Petrol,2011,Nissan
258,Creta,Pune,1750000,45000, Diesel,2020,Hyundai
259,Suzuki,Chennai,595000,41000, Diesel,2018,Maruti
260,3,Mumbai,1890000,61000, Diesel ,2015,BMW
261,XF,Mumbai,2150000,20000, Diesel ,2014,Jaguar
262,Verna,Mumbai,699000,26000, Petrol ,2015,Hyundai
263,Grand,Pune,451799,71423, Petrol ,2015,Hyundai
264,Grand,Pune,446999,34095, Petrol ,2015,Hyundai
265,Suzuki,Pune,470799,32658, Petrol ,2016,Maruti
266,Suzuki,Pune,511799,33166, Petrol ,2017,Maruti
267,Suzuki,Chennai,399899,31284, Petrol ,2014,Maruti
268,Suzuki,Pune,375999,66090, Petrol ,2015,Maruti
269,Ecosport,Pune,664799,51295, Petrol ,2016,Ford
270,Suzuki,Pune,617799,48693, Petrol ,2016,Maruti
271,Suzuki,Pune,749299,36626, Diesel ,2017,Maruti
272,Duster,Pune,795799,55752, Diesel ,2016,Renault
273,Tigor,Pune,543499,49341, Diesel ,2017,Tata
274,Suzuki,Chennai,317199,60251, Petrol ,2015,Maruti
275,Suzuki,Pune,373699,22269, Petrol ,2015,Maruti
276,Ameo,Pune,501799,38999, Petrol ,2016,Volkswagen
277,Suzuki,Pune,838699,29110, Diesel ,2019,Maruti
278,Creta,Pune,1804399,14506, Petrol ,2020,Hyundai
279,Beat,Bangalore,175000,55000, Petrol,2010,Chevrolet
280,Hexa,Madurai,1200000,60000, Diesel,2018,Tata
281,Corolla,Chennai,170000,80000, Petrol,2006,Toyota
282,Suzuki,,65000,108252, Petrol,2005,Maruti
283,Suzuki,Chennai,360000,36000, Petrol,2014,Maruti
284,Xcent,Chennai,299000,95000, Diesel ,2016,Hyundai
285,Figo,Chennai,176000,88000, Diesel ,2010,Ford
286,Suzuki,Chennai,325000,60000, Petrol ,2014,Maruti
287,Creta,Pune,1804399,14506, Petrol ,2020,Hyundai
288,Suzuki,Pune,985299,29115, Diesel ,2017,Maruti
289,Suzuki,Pune,642899,34763, Petrol ,2017,Maruti
290,Suzuki,Chennai,740000,12500, Diesel ,2015,Maruti
291,Suzuki,Pune,610000,85000, Petrol,2017,Maruti
292,Grand,Pune,495000,40000, Petrol,2016,Hyundai
293,Verna,Pune,510000,71000, Petrol,2014,Hyundai
294,Suzuki,Pune,560000,44000, Petrol,2017,Maruti
295,Innova,Pune,455000,124000, Diesel,2009,Toyota
296,Suzuki,Pune,350000,78000, CNG,2012,Maruti
297,Kwid,Bangalore,463099,44696, Petrol ,2017,Renault
298,Suzuki,Pune,350599,33004, Petrol ,2018,Maruti
299,Verna,Chennai,636299,46034, Petrol ,2016,Hyundai
300,Grand,Chennai,698199,60307, Petrol ,2020,Hyundai
301,Grand,Chennai,764199,8825, Petrol ,2021,Hyundai
302,Suzuki,Chennai,524799,5743, Petrol ,2019,Maruti
303,EcoSport,Chennai,420000,87000, Diesel ,2013,Ford
304,Seltos,Bangalore,1831000,19500, Petrol,2020,Kia
305,Beat,Chennai,210000,60000, Petrol,2010,Chevrolet
306,Vento,Chennai,465000,70000, Petrol,2013,Volkswagen
307,Q7,Chennai,2250000,65000, Diesel,2017,Audi
308,Suzuki,Chennai,1090000,35623, Petrol,2020,Maruti
309,Innova,Bangalore,375000,160000, Petrol,2005,Toyota
310,i20,Chennai,225000,98500, Petrol,2009,Hyundai
311,Suzuki,Chennai,524799,5743, Petrol ,2019,Maruti
312,Suzuki,Chennai,493899,25735, Petrol ,2019,Maruti
313,Elite,Chennai,825299,37522, Petrol ,2019,Hyundai
314,Suzuki,Chennai,495499,38955, Petrol ,2018,Maruti
315,Eon,Chennai,277599,65308, Petrol ,2014,Hyundai
